,zip_code,year,Alley Lights Out,Alley Lights Out_completion_rate,Tree Debris,Tree Debris_completion_rate,Abandoned Vehicles,Abandoned Vehicles_completion_rate,Garbage Carts,Garbage Carts_completion_rate,Graffiti Removal,Graffiti Removal_completion_rate,Rodent Baiting,Rodent Baiting_completion_rate,Tree Trims,Tree Trims_completion_rate,Sanitation Code Complaints,Sanitation Code Complaints_completion_rate,Street Lights - All Out,Street Lights - All Out_completion_rate,Street Lights - One Out,Street Lights - One Out_completion_rate
0,0,2010,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0
1,0,2011,7.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,21.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,75.0,1.0,25.0,1.0
2,0,2012,4.0,1.0,2.0,1.0,21.0,1.0,1.0,1.0,15.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,47.0,1.0,11.0,1.0
3,0,2013,4.0,1.0,4.0,1.0,13.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,69.0,1.0,18.0,1.0
4,0,2014,3.0,1.0,0.0,0.0,24.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,1.0,57.0,1.0
5,0,2015,4.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,41.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,41.0,1.0,97.0,1.0
6,0,2016,2.0,1.0,3.0,1.0,11.0,1.0,0.0,0.0,42.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,33.0,1.0,102.0,1.0
7,0,2017,5.0,1.0,2.0,1.0,7.0,1.0,0.0,0.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,0.9473684210526315,65.0,1.0
9,60601,2010,2.0,1.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
10,60601,2011,4.0,1.0,0.0,0.0,209.0,1.0,3.0,1.0,385.0,1.0,12.0,1.0,3.0,1.0,20.0,1.0,54.0,1.0,52.0,1.0
11,60601,2012,2.0,1.0,0.0,0.0,138.0,1.0,1.0,1.0,409.0,1.0,20.0,1.0,3.0,1.0,11.0,1.0,65.0,1.0,51.0,1.0
