GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US60002,60002,ZCTA5 60002,23925,466
8600000US60004,60004,ZCTA5 60004,49650,942
8600000US60005,60005,ZCTA5 60005,30490,877
8600000US60007,60007,ZCTA5 60007,33837,440
8600000US60008,60008,ZCTA5 60008,22379,486
8600000US60010,60010,ZCTA5 60010,44209,906
8600000US60012,60012,ZCTA5 60012,11142,754
8600000US60013,60013,ZCTA5 60013,26975,544
8600000US60014,60014,ZCTA5 60014,48834,693
8600000US60015,60015,ZCTA5 60015,27218,423
8600000US60016,60016,ZCTA5 60016,60437,752
8600000US60018,60018,ZCTA5 60018,28957,849
8600000US60020,60020,ZCTA5 60020,10533,499
8600000US60021,60021,ZCTA5 60021,5680,317
8600000US60022,60022,ZCTA5 60022,8213,176
8600000US60025,60025,ZCTA5 60025,38689,731
8600000US60026,60026,ZCTA5 60026,13382,711
8600000US60029,60029,ZCTA5 60029,567,163
8600000US60030,60030,ZCTA5 60030,35419,754
8600000US60031,60031,ZCTA5 60031,37993,651
8600000US60033,60033,ZCTA5 60033,13824,302
8600000US60034,60034,ZCTA5 60034,1830,221
8600000US60035,60035,ZCTA5 60035,29856,92
8600000US60040,60040,ZCTA5 60040,5471,91
8600000US60041,60041,ZCTA5 60041,8942,448
8600000US60042,60042,ZCTA5 60042,8745,306
8600000US60043,60043,ZCTA5 60043,2669,120
8600000US60044,60044,ZCTA5 60044,9995,251
8600000US60045,60045,ZCTA5 60045,20777,325
8600000US60046,60046,ZCTA5 60046,34916,651
8600000US60047,60047,ZCTA5 60047,41695,465
8600000US60048,60048,ZCTA5 60048,29246,485
8600000US60050,60050,ZCTA5 60050,32294,713
8600000US60051,60051,ZCTA5 60051,24212,811
8600000US60053,60053,ZCTA5 60053,23194,54
8600000US60056,60056,ZCTA5 60056,55153,380
8600000US60060,60060,ZCTA5 60060,38159,765
8600000US60061,60061,ZCTA5 60061,25674,198
8600000US60062,60062,ZCTA5 60062,40092,581
8600000US60064,60064,ZCTA5 60064,16341,450
8600000US60067,60067,ZCTA5 60067,38120,968
8600000US60068,60068,ZCTA5 60068,37266,279
8600000US60069,60069,ZCTA5 60069,8129,358
8600000US60070,60070,ZCTA5 60070,15915,182
8600000US60071,60071,ZCTA5 60071,3507,172
8600000US60072,60072,ZCTA5 60072,980,239
8600000US60073,60073,ZCTA5 60073,59142,653
8600000US60074,60074,ZCTA5 60074,38843,965
8600000US60076,60076,ZCTA5 60076,33412,900
8600000US60077,60077,ZCTA5 60077,26400,893
8600000US60081,60081,ZCTA5 60081,10070,454
8600000US60083,60083,ZCTA5 60083,9833,453
8600000US60084,60084,ZCTA5 60084,15848,451
8600000US60085,60085,ZCTA5 60085,71038,879
8600000US60087,60087,ZCTA5 60087,27717,1148
8600000US60088,60088,ZCTA5 60088,13743,452
8600000US60089,60089,ZCTA5 60089,41672,89
8600000US60090,60090,ZCTA5 60090,37543,44
8600000US60091,60091,ZCTA5 60091,27202,141
8600000US60093,60093,ZCTA5 60093,19064,445
8600000US60096,60096,ZCTA5 60096,6941,93
8600000US60097,60097,ZCTA5 60097,11082,666
8600000US60098,60098,ZCTA5 60098,32047,740
8600000US60099,60099,ZCTA5 60099,31308,635
8600000US60101,60101,ZCTA5 60101,39705,685
8600000US60102,60102,ZCTA5 60102,31689,363
8600000US60103,60103,ZCTA5 60103,41872,315
8600000US60104,60104,ZCTA5 60104,19105,35
8600000US60106,60106,ZCTA5 60106,20351,433
8600000US60107,60107,ZCTA5 60107,40313,445
8600000US60108,60108,ZCTA5 60108,22591,409
8600000US60109,60109,ZCTA5 60109,496,135
8600000US60110,60110,ZCTA5 60110,38414,705
8600000US60111,60111,ZCTA5 60111,414,178
8600000US60112,60112,ZCTA5 60112,4532,250
8600000US60113,60113,ZCTA5 60113,287,99
8600000US60115,60115,ZCTA5 60115,46410,434
8600000US60118,60118,ZCTA5 60118,15685,594
8600000US60119,60119,ZCTA5 60119,10088,573
8600000US60120,60120,ZCTA5 60120,51046,1237
8600000US60123,60123,ZCTA5 60123,48523,1176
8600000US60124,60124,ZCTA5 60124,19216,1153
8600000US60126,60126,ZCTA5 60126,46123,426
8600000US60129,60129,ZCTA5 60129,183,65
8600000US60130,60130,ZCTA5 60130,14194,56
8600000US60131,60131,ZCTA5 60131,18037,190
8600000US60133,60133,ZCTA5 60133,38156,156
8600000US60134,60134,ZCTA5 60134,29634,510
8600000US60135,60135,ZCTA5 60135,7101,297
8600000US60136,60136,ZCTA5 60136,6829,129
8600000US60137,60137,ZCTA5 60137,38572,936
8600000US60139,60139,ZCTA5 60139,34755,437
8600000US60140,60140,ZCTA5 60140,14198,630
8600000US60141,60141,ZCTA5 60141,236,106
8600000US60142,60142,ZCTA5 60142,25586,477
8600000US60143,60143,ZCTA5 60143,10245,406
8600000US60144,60144,ZCTA5 60144,38,20
8600000US60145,60145,ZCTA5 60145,2513,270
8600000US60146,60146,ZCTA5 60146,2717,290
8600000US60148,60148,ZCTA5 60148,51365,912
8600000US60150,60150,ZCTA5 60150,1542,170
8600000US60151,60151,ZCTA5 60151,4281,384
8600000US60152,60152,ZCTA5 60152,13008,417
8600000US60153,60153,ZCTA5 60153,24187,42
8600000US60154,60154,ZCTA5 60154,16684,38
8600000US60155,60155,ZCTA5 60155,7928,30
8600000US60156,60156,ZCTA5 60156,28894,39
8600000US60157,60157,ZCTA5 60157,2153,304
8600000US60160,60160,ZCTA5 60160,25266,35
8600000US60162,60162,ZCTA5 60162,8136,33
8600000US60163,60163,ZCTA5 60163,5189,36
8600000US60164,60164,ZCTA5 60164,22194,472
8600000US60165,60165,ZCTA5 60165,4942,18
8600000US60169,60169,ZCTA5 60169,33934,85
8600000US60171,60171,ZCTA5 60171,10245,48
8600000US60172,60172,ZCTA5 60172,24287,415
8600000US60173,60173,ZCTA5 60173,12243,636
8600000US60174,60174,ZCTA5 60174,30853,869
8600000US60175,60175,ZCTA5 60175,25961,1038
8600000US60176,60176,ZCTA5 60176,11782,45
