GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Below 100 percent of the poverty level,Margin of Error; Total: - Below 100 percent of the poverty level,Estimate; Total: - 100 to 149 percent of the poverty level,Margin of Error; Total: - 100 to 149 percent of the poverty level,Estimate; Total: - At or above 150 percent of the poverty level,Margin of Error; Total: - At or above 150 percent of the poverty level,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Below 100 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - Below 100 percent of the poverty level,Estimate; Total: - Same house 1 year ago: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - 100 to 149 percent of the poverty level,Estimate; Total: - Same house 1 year ago: - At or above 150 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - At or above 150 percent of the poverty level,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved within same county: - Below 100 percent of the poverty level,Estimate; Total: - Moved within same county: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved within same county: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved within same county: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved within same county: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - Below 100 percent of the poverty level,Estimate; Total: - Moved from different county within same state: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from different county within same state: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from different state: - Below 100 percent of the poverty level,Estimate; Total: - Moved from different state: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from different state: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from different state: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from different state: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - Below 100 percent of the poverty level,Estimate; Total: - Moved from abroad: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from abroad: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - At or above 150 percent of the poverty level
8600000US60002,60002,ZCTA5 60002,23604,491,1725,499,927,299,20952,755,21659,695,1536,487,785,290,19338,877,1322,428,149,115,64,53,1109,400,355,231,11,16,38,49,306,219,215,118,18,23,32,51,165,97,53,58,11,17,8,14,34,55
8600000US60004,60004,ZCTA5 60004,48776,963,1933,622,1990,561,44853,1037,44714,1046,1725,586,1664,522,41325,1243,2525,507,160,105,200,97,2165,475,587,253,11,16,7,11,569,249,759,263,37,35,15,26,707,258,191,160,0,24,104,149,87,66
8600000US60005,60005,ZCTA5 60005,29670,841,1697,418,1505,459,26468,897,26245,1027,1392,375,1239,408,23614,1027,2598,577,213,173,233,186,2152,501,130,78,0,24,0,24,130,78,420,197,81,65,0,24,339,178,277,209,11,17,33,49,233,198
8600000US60007,60007,ZCTA5 60007,33408,425,1544,435,1223,331,30641,601,30671,765,1041,378,1061,316,28569,718,1688,522,146,133,94,68,1448,521,548,314,211,224,15,24,322,191,227,138,145,142,0,24,82,57,274,224,1,2,53,80,220,211
8600000US60008,60008,ZCTA5 60008,21683,512,2018,665,1535,490,18130,1006,19466,766,1444,525,1109,402,16913,1009,1488,597,473,446,271,275,744,306,346,223,18,24,14,23,314,219,145,91,33,31,0,21,112,85,238,189,50,60,141,176,47,41
8600000US60010,60010,ZCTA5 60010,43924,913,2155,590,1029,319,40740,1201,40681,997,1793,544,969,326,37919,1223,1464,427,243,269,25,28,1196,357,1081,302,102,90,0,24,979,296,551,205,14,18,35,56,502,202,147,92,3,5,0,24,144,92
8600000US60012,60012,ZCTA5 60012,11011,746,368,168,197,131,10446,810,10511,750,335,157,197,131,9979,817,102,52,0,18,0,18,102,52,112,70,15,23,0,18,97,66,286,191,18,21,0,18,268,180,0,18,0,18,0,18,0,18
8600000US60013,60013,ZCTA5 60013,26734,526,1478,440,821,284,24435,656,24816,641,1109,292,787,264,22920,666,995,386,236,214,0,21,759,348,751,300,104,140,23,36,624,263,132,67,29,36,0,21,103,55,40,37,0,21,11,22,29,29
8600000US60014,60014,ZCTA5 60014,48039,681,2797,754,2895,684,42347,1129,44077,896,2480,783,2418,613,39179,1124,2609,610,278,199,216,139,2115,485,815,289,4,8,227,210,584,232,386,156,19,20,34,39,333,151,152,118,16,26,0,24,136,117
8600000US60015,60015,ZCTA5 60015,26018,475,781,183,786,379,24451,499,24011,533,574,164,442,193,22995,533,710,234,123,94,26,30,561,214,786,390,30,33,287,330,469,207,416,202,54,66,31,30,331,197,95,76,0,21,0,21,95,76
8600000US60016,60016,ZCTA5 60016,59248,746,4878,794,4455,920,49915,1233,53211,1175,3699,697,3744,787,45768,1337,4477,810,853,386,509,346,3115,626,234,104,48,57,9,13,177,90,538,313,100,83,16,26,422,284,788,259,178,146,177,117,433,234
8600000US60018,60018,ZCTA5 60018,28237,839,3152,751,2350,448,22735,1112,26097,924,2932,713,2052,442,21113,1125,1495,385,196,150,259,235,1040,318,404,478,10,14,39,61,355,474,122,74,14,23,0,21,108,73,119,108,0,21,0,21,119,108
8600000US60020,60020,ZCTA5 60020,10361,491,1155,397,778,411,8428,611,9271,648,1038,372,526,204,7707,636,786,418,51,56,241,356,494,245,192,114,7,10,0,18,185,113,96,74,59,60,0,18,37,44,16,19,0,18,11,17,5,9
8600000US60021,60021,ZCTA5 60021,5624,304,223,154,179,138,5222,386,5353,335,217,153,118,119,5018,398,149,118,4,6,1,3,144,118,48,35,2,4,15,24,31,26,74,73,0,16,45,68,29,32,0,16,0,16,0,16,0,16
8600000US60022,60022,ZCTA5 60022,8155,177,464,341,403,297,7288,511,7572,303,424,339,387,289,6761,519,331,188,0,16,1,3,330,188,1,3,0,16,0,16,1,3,179,172,0,16,0,16,179,172,72,68,40,62,15,25,17,20
8600000US60025,60025,ZCTA5 60025,38224,749,1983,478,1419,348,34822,856,35026,905,1632,466,1157,345,32237,969,2216,495,149,95,229,145,1838,494,294,142,105,95,0,24,189,113,572,258,67,93,0,24,505,251,116,104,30,49,33,52,53,74
8600000US60026,60026,ZCTA5 60026,12998,704,693,316,650,294,11655,773,12132,649,501,258,628,297,11003,739,499,225,75,88,22,34,402,201,23,34,1,3,0,18,22,34,246,151,94,109,0,18,152,107,98,89,22,35,0,18,76,79
8600000US60029,60029,ZCTA5 60029,567,163,7,14,5,6,555,162,523,161,7,14,5,6,511,159,41,44,0,11,0,11,41,44,3,6,0,11,0,11,3,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US60030,60030,ZCTA5 60030,34922,724,1505,464,1330,489,32087,867,31992,909,1103,457,1213,484,29676,979,1782,451,261,161,117,139,1404,389,493,206,42,57,0,24,451,218,560,222,32,38,0,24,528,218,95,87,67,74,0,24,28,46
8600000US60031,60031,ZCTA5 60031,37502,656,1598,353,1887,499,34017,796,33744,742,1364,329,1527,448,30853,847,2219,556,144,68,211,237,1864,507,662,195,72,86,56,59,534,182,658,261,11,18,93,131,554,225,219,165,7,11,0,24,212,164
8600000US60033,60033,ZCTA5 60033,13616,326,3108,806,1264,549,9244,790,11941,647,2431,771,932,457,8578,841,1381,550,614,343,332,261,435,216,176,150,54,78,0,18,122,127,25,32,0,18,0,18,25,32,93,93,9,20,0,18,84,98
8600000US60034,60034,ZCTA5 60034,1822,220,157,74,75,49,1590,221,1717,219,127,62,72,48,1518,223,49,27,18,17,0,11,31,20,53,45,9,15,3,5,41,42,3,5,3,5,0,11,0,11,0,11,0,11,0,11,0,11
8600000US60035,60035,ZCTA5 60035,29554,135,1714,578,804,215,27036,594,26736,603,1580,546,556,151,24600,748,1282,359,32,51,198,140,1052,336,714,307,1,2,10,16,703,307,701,372,47,52,40,51,614,365,121,64,54,48,0,21,67,43
8600000US60040,60040,ZCTA5 60040,5266,176,687,372,702,479,3877,571,4606,284,477,293,702,479,3427,545,328,221,71,116,0,16,257,184,139,98,23,43,0,16,116,83,116,165,116,165,0,16,0,16,77,88,0,16,0,16,77,88
8600000US60041,60041,ZCTA5 60041,8730,450,765,270,421,210,7544,519,8091,476,636,248,378,200,7077,529,387,210,84,67,43,68,260,162,169,126,43,43,0,16,126,104,67,65,2,6,0,16,65,65,16,26,0,16,0,16,16,26
8600000US60042,60042,ZCTA5 60042,8561,303,974,435,312,170,7275,452,7817,239,813,411,254,171,6750,453,171,109,0,16,28,45,143,98,385,176,23,36,30,42,332,161,173,204,138,203,0,16,35,28,15,22,0,16,0,16,15,22
8600000US60043,60043,ZCTA5 60043,2666,119,41,29,22,19,2603,123,2498,141,41,29,22,19,2435,140,135,52,0,11,0,11,135,52,8,12,0,11,0,11,8,12,21,26,0,11,0,11,21,26,4,6,0,11,0,11,4,6
8600000US60044,60044,ZCTA5 60044,9798,259,626,205,254,164,8918,323,8294,486,386,174,99,61,7809,491,694,245,140,89,37,48,517,223,321,185,35,37,16,25,270,160,307,143,65,72,0,16,242,128,182,128,0,16,102,140,80,91
8600000US60045,60045,ZCTA5 60045,19476,416,798,253,420,172,18258,470,18012,526,687,270,397,169,16928,609,675,249,14,24,0,21,661,247,308,143,48,102,0,21,260,117,320,148,42,48,23,23,255,138,161,146,7,12,0,21,154,152
8600000US60046,60046,ZCTA5 60046,34111,640,1357,322,1251,409,31503,822,30805,899,1073,275,868,343,28864,952,2231,517,216,128,268,131,1747,488,301,113,44,34,0,24,257,106,655,296,3,7,115,183,537,241,119,56,21,24,0,24,98,51
8600000US60047,60047,ZCTA5 60047,40655,460,1660,499,947,390,38048,668,38503,649,1575,480,891,371,36037,770,898,264,30,41,5,10,863,264,644,238,26,42,16,18,602,221,420,264,0,24,0,24,420,264,190,80,29,30,35,41,126,82
8600000US60048,60048,ZCTA5 60048,28549,487,1238,384,709,297,26602,677,26201,511,1054,382,667,291,24480,677,1391,341,144,81,36,50,1211,352,442,192,10,14,6,10,426,192,452,188,30,22,0,21,422,188,63,73,0,21,0,21,63,73
8600000US60050,60050,ZCTA5 60050,31618,727,2521,558,2221,631,26876,1041,28775,940,2097,556,1852,574,24826,1143,1502,396,311,168,131,95,1060,319,925,331,71,62,170,213,684,253,399,157,28,27,68,71,303,138,17,23,14,22,0,24,3,6
8600000US60051,60051,ZCTA5 60051,23865,786,1747,445,622,207,21496,855,21083,953,1214,321,534,202,19335,988,1269,432,209,153,36,60,1024,380,1049,432,273,221,52,52,724,297,412,186,51,61,0,21,361,175,52,63,0,21,0,21,52,63
8600000US60053,60053,ZCTA5 60053,22804,136,1475,469,1030,383,20299,578,20870,509,1427,470,824,318,18619,683,1427,407,16,15,130,142,1281,393,241,176,6,11,32,50,203,173,151,105,26,41,0,21,125,99,115,90,0,21,44,56,71,69
8600000US60056,60056,ZCTA5 60056,54122,487,3181,725,3965,1153,46976,1294,48653,944,2546,681,3075,959,43032,1313,4053,737,516,266,536,398,3001,675,492,252,37,34,0,27,455,251,432,162,51,63,153,135,228,118,492,359,31,43,201,276,260,176
8600000US60060,60060,ZCTA5 60060,37282,732,2539,656,2429,770,32314,838,33434,1009,1941,572,2238,778,29255,994,2629,630,422,254,116,88,2091,530,681,332,132,189,51,47,498,256,439,219,39,62,18,28,382,196,99,53,5,10,6,12,88,51
8600000US60061,60061,ZCTA5 60061,25311,230,741,222,1218,481,23352,628,22688,671,593,191,1116,477,20979,735,1233,405,100,85,36,96,1097,380,879,400,42,51,55,70,782,344,285,138,6,11,11,17,268,135,226,153,0,21,0,21,226,153
8600000US60062,60062,ZCTA5 60062,39089,631,2087,525,1670,497,35332,987,35618,894,1540,454,1418,459,32660,1132,2099,555,359,230,131,126,1609,468,296,144,13,22,34,52,249,135,532,202,19,22,18,27,495,199,544,267,156,136,69,109,319,192
8600000US60064,60064,ZCTA5 60064,15598,476,4397,791,2785,613,8416,800,12728,768,2943,657,2434,614,7351,849,2008,616,1099,554,249,176,660,273,260,166,74,49,18,22,168,147,352,169,69,59,46,51,237,150,250,218,212,218,38,48,0,18
8600000US60067,60067,ZCTA5 60067,37352,926,1836,483,1549,508,33967,961,33558,935,1626,474,1098,482,30834,911,2236,524,111,84,361,223,1764,452,924,324,55,83,76,56,793,310,513,183,17,25,14,23,482,173,121,60,27,30,0,24,94,57
8600000US60068,60068,ZCTA5 60068,36591,318,1295,329,1526,405,33770,597,34438,532,1082,308,1517,403,31839,714,1661,420,156,123,9,14,1496,391,153,92,9,14,0,24,144,89,228,120,9,13,0,24,219,120,111,99,39,39,0,24,72,74
8600000US60069,60069,ZCTA5 60069,7931,351,300,153,255,183,7376,337,7563,373,300,153,234,179,7029,366,227,162,0,16,10,15,217,163,70,50,0,16,11,18,59,46,71,53,0,16,0,16,71,53,0,16,0,16,0,16,0,16
8600000US60070,60070,ZCTA5 60070,15691,228,1675,683,965,518,13051,840,13988,601,1331,622,917,511,11740,916,1264,554,305,304,48,50,911,455,150,122,0,18,0,18,150,122,228,136,24,36,0,18,204,123,61,75,15,26,0,18,46,73
8600000US60071,60071,ZCTA5 60071,3461,173,160,82,285,129,3016,221,2893,250,153,79,174,110,2566,259,359,166,7,11,75,76,277,120,88,55,0,11,0,11,88,55,121,81,0,11,36,30,85,75,0,11,0,11,0,11,0,11
8600000US60072,60072,ZCTA5 60072,974,237,175,166,13,12,786,172,900,235,127,160,13,12,760,169,74,55,48,45,0,11,26,29,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US60073,60073,ZCTA5 60073,57880,630,7891,1096,5645,874,44344,1307,51386,1219,6162,996,4691,874,40533,1507,4587,941,1357,519,902,415,2328,569,936,301,98,84,43,46,795,275,672,335,201,272,0,27,471,204,299,177,73,111,9,16,217,155
8600000US60074,60074,ZCTA5 60074,38085,958,5016,870,3233,782,29836,948,32329,1301,4147,880,2506,608,25676,1168,3510,735,676,347,640,437,2194,542,1295,566,112,97,0,24,1183,582,682,270,12,18,56,75,614,258,269,165,69,77,31,50,169,127
8600000US60076,60076,ZCTA5 60076,32754,893,2645,659,2240,681,27869,1115,29751,1001,2381,649,1954,594,25416,1088,2320,598,67,53,271,280,1982,555,43,33,0,24,15,22,28,24,114,82,28,43,0,24,86,72,526,355,169,144,0,24,357,329
8600000US60077,60077,ZCTA5 60077,25923,901,3131,592,1622,504,21170,1096,23500,996,2758,573,1475,504,19267,1103,1818,531,206,123,130,104,1482,501,166,143,0,21,17,26,149,140,105,87,12,18,0,21,93,85,334,234,155,198,0,21,179,112
8600000US60081,60081,ZCTA5 60081,9985,457,541,215,625,363,8819,408,9251,664,419,182,554,345,8278,624,164,138,85,95,56,57,23,27,143,109,10,16,0,18,133,100,427,515,27,36,15,25,385,519,0,18,0,18,0,18,0,18
8600000US60083,60083,ZCTA5 60083,9748,457,145,82,367,211,9236,485,9262,510,128,77,297,205,8837,526,282,181,0,16,10,15,272,182,29,30,11,17,0,16,18,26,153,107,6,10,57,84,90,71,22,29,0,16,3,5,19,30
