GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US60002,60002,ZCTA5 60002,75928,3474
8600000US60004,60004,ZCTA5 60004,80760,2657
8600000US60005,60005,ZCTA5 60005,71352,3735
8600000US60007,60007,ZCTA5 60007,68559,3466
8600000US60008,60008,ZCTA5 60008,61645,3284
8600000US60010,60010,ZCTA5 60010,122789,5038
8600000US60012,60012,ZCTA5 60012,112461,9430
8600000US60013,60013,ZCTA5 60013,101051,4502
8600000US60014,60014,ZCTA5 60014,81537,2601
8600000US60015,60015,ZCTA5 60015,130140,6644
8600000US60016,60016,ZCTA5 60016,62194,2672
8600000US60018,60018,ZCTA5 60018,54817,2878
8600000US60020,60020,ZCTA5 60020,55431,7379
8600000US60021,60021,ZCTA5 60021,77986,24311
8600000US60022,60022,ZCTA5 60022,172539,24406
8600000US60025,60025,ZCTA5 60025,86417,3921
8600000US60026,60026,ZCTA5 60026,92230,17286
8600000US60029,60029,ZCTA5 60029,166667,11269
8600000US60030,60030,ZCTA5 60030,81055,4017
8600000US60031,60031,ZCTA5 60031,83500,4280
8600000US60033,60033,ZCTA5 60033,51732,4765
8600000US60034,60034,ZCTA5 60034,56000,10439
8600000US60035,60035,ZCTA5 60035,115372,7873
8600000US60040,60040,ZCTA5 60040,54176,5845
8600000US60041,60041,ZCTA5 60041,56583,10020
8600000US60042,60042,ZCTA5 60042,63792,6706
8600000US60043,60043,ZCTA5 60043,179922,50486
8600000US60044,60044,ZCTA5 60044,93849,5659
8600000US60045,60045,ZCTA5 60045,152658,10271
8600000US60046,60046,ZCTA5 60046,83104,4419
8600000US60047,60047,ZCTA5 60047,127561,4772
8600000US60048,60048,ZCTA5 60048,122704,8016
8600000US60050,60050,ZCTA5 60050,62942,3568
8600000US60051,60051,ZCTA5 60051,72418,4358
8600000US60053,60053,ZCTA5 60053,73939,5127
8600000US60056,60056,ZCTA5 60056,68874,2996
8600000US60060,60060,ZCTA5 60060,79283,4452
8600000US60061,60061,ZCTA5 60061,91426,6354
8600000US60062,60062,ZCTA5 60062,102594,5084
8600000US60064,60064,ZCTA5 60064,33009,3200
8600000US60067,60067,ZCTA5 60067,88349,6377
8600000US60068,60068,ZCTA5 60068,87626,4668
8600000US60069,60069,ZCTA5 60069,100833,9936
8600000US60070,60070,ZCTA5 60070,61756,5356
8600000US60071,60071,ZCTA5 60071,53511,6504
8600000US60072,60072,ZCTA5 60072,82500,15915
8600000US60073,60073,ZCTA5 60073,64393,2642
8600000US60074,60074,ZCTA5 60074,63214,2445
8600000US60076,60076,ZCTA5 60076,71677,3460
8600000US60077,60077,ZCTA5 60077,55198,5674
8600000US60081,60081,ZCTA5 60081,83750,7612
8600000US60083,60083,ZCTA5 60083,92094,5585
8600000US60084,60084,ZCTA5 60084,73473,4770
8600000US60085,60085,ZCTA5 60085,40907,1756
8600000US60087,60087,ZCTA5 60087,52220,3620
8600000US60088,60088,ZCTA5 60088,58500,11119
8600000US60089,60089,ZCTA5 60089,96804,2353
8600000US60090,60090,ZCTA5 60090,57543,3108
8600000US60091,60091,ZCTA5 60091,126471,8332
8600000US60093,60093,ZCTA5 60093,146696,18191
8600000US60096,60096,ZCTA5 60096,75255,7219
8600000US60097,60097,ZCTA5 60097,69611,6507
8600000US60098,60098,ZCTA5 60098,61140,4738
8600000US60099,60099,ZCTA5 60099,55098,3605
8600000US60101,60101,ZCTA5 60101,54726,5366
8600000US60102,60102,ZCTA5 60102,96568,7014
8600000US60103,60103,ZCTA5 60103,95350,5856
8600000US60104,60104,ZCTA5 60104,50667,4393
8600000US60106,60106,ZCTA5 60106,60584,3155
8600000US60107,60107,ZCTA5 60107,73081,4033
8600000US60108,60108,ZCTA5 60108,71695,5610
8600000US60109,60109,ZCTA5 60109,61000,17447
8600000US60110,60110,ZCTA5 60110,57919,3940
8600000US60111,60111,ZCTA5 60111,73095,16193
8600000US60112,60112,ZCTA5 60112,67219,12073
8600000US60113,60113,ZCTA5 60113,50729,12348
8600000US60115,60115,ZCTA5 60115,38583,3529
8600000US60118,60118,ZCTA5 60118,77329,6377
8600000US60119,60119,ZCTA5 60119,88924,12014
8600000US60120,60120,ZCTA5 60120,53031,3375
8600000US60123,60123,ZCTA5 60123,55143,4506
8600000US60124,60124,ZCTA5 60124,104034,10594
8600000US60126,60126,ZCTA5 60126,94148,3684
8600000US60129,60129,ZCTA5 60129,85250,32508
8600000US60130,60130,ZCTA5 60130,50749,3791
8600000US60131,60131,ZCTA5 60131,57269,4879
8600000US60133,60133,ZCTA5 60133,66593,3318
8600000US60134,60134,ZCTA5 60134,101437,5727
8600000US60135,60135,ZCTA5 60135,57451,5910
8600000US60136,60136,ZCTA5 60136,109489,21789
8600000US60137,60137,ZCTA5 60137,91017,5360
8600000US60139,60139,ZCTA5 60139,60896,4407
8600000US60140,60140,ZCTA5 60140,79141,8873
8600000US60141,60141,ZCTA5 60141,-,**
8600000US60142,60142,ZCTA5 60142,80745,9375
8600000US60143,60143,ZCTA5 60143,77386,4920
8600000US60144,60144,ZCTA5 60144,64250,18512
8600000US60145,60145,ZCTA5 60145,82228,9696
8600000US60146,60146,ZCTA5 60146,56167,8728
8600000US60148,60148,ZCTA5 60148,72177,2493
8600000US60150,60150,ZCTA5 60150,55250,6984
8600000US60151,60151,ZCTA5 60151,63008,9556
8600000US60152,60152,ZCTA5 60152,64720,9586
8600000US60153,60153,ZCTA5 60153,43809,4568
8600000US60154,60154,ZCTA5 60154,67843,4769
8600000US60155,60155,ZCTA5 60155,53500,6376
8600000US60156,60156,ZCTA5 60156,83149,4707
8600000US60157,60157,ZCTA5 60157,85260,10344
8600000US60160,60160,ZCTA5 60160,45548,2498
8600000US60162,60162,ZCTA5 60162,52335,5991
8600000US60163,60163,ZCTA5 60163,64914,9955
8600000US60164,60164,ZCTA5 60164,59122,3284
8600000US60165,60165,ZCTA5 60165,37222,6505
8600000US60169,60169,ZCTA5 60169,70208,2706
8600000US60171,60171,ZCTA5 60171,44911,4034
8600000US60172,60172,ZCTA5 60172,77453,3825
8600000US60173,60173,ZCTA5 60173,68017,5286
8600000US60174,60174,ZCTA5 60174,79289,4791
8600000US60175,60175,ZCTA5 60175,123900,9030
8600000US60176,60176,ZCTA5 60176,45646,3000
8600000US60177,60177,ZCTA5 60177,86527,4311
8600000US60178,60178,ZCTA5 60178,64513,4412
8600000US60180,60180,ZCTA5 60180,46250,26188
8600000US60181,60181,ZCTA5 60181,68356,4194
8600000US60184,60184,ZCTA5 60184,149286,23316
8600000US60185,60185,ZCTA5 60185,72573,3635
