GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - One or more health insurance items imputed,Estimate; Total: - No health insurance items imputed
8600000US60002,60002,ZCTA5 60002,24321,2709,21612
8600000US60004,60004,ZCTA5 60004,50119,5758,44361
8600000US60005,60005,ZCTA5 60005,29727,3787,25940
8600000US60007,60007,ZCTA5 60007,33803,4132,29671
8600000US60008,60008,ZCTA5 60008,21872,2431,19441
8600000US60010,60010,ZCTA5 60010,44089,5907,38182
8600000US60012,60012,ZCTA5 60012,10938,873,10065
8600000US60013,60013,ZCTA5 60013,26242,2339,23903
8600000US60014,60014,ZCTA5 60014,48706,4994,43712
8600000US60015,60015,ZCTA5 60015,27154,3548,23606
8600000US60016,60016,ZCTA5 60016,60559,6241,54318
8600000US60018,60018,ZCTA5 60018,28947,3106,25841
8600000US60020,60020,ZCTA5 60020,9828,1301,8527
8600000US60021,60021,ZCTA5 60021,5455,810,4645
8600000US60022,60022,ZCTA5 60022,8486,870,7616
8600000US60025,60025,ZCTA5 60025,39311,4586,34725
8600000US60026,60026,ZCTA5 60026,14047,1509,12538
8600000US60029,60029,ZCTA5 60029,469,24,445
8600000US60030,60030,ZCTA5 60030,36588,3728,32860
8600000US60031,60031,ZCTA5 60031,37665,3012,34653
8600000US60033,60033,ZCTA5 60033,13630,1461,12169
8600000US60034,60034,ZCTA5 60034,1872,143,1729
8600000US60035,60035,ZCTA5 60035,29522,3838,25684
8600000US60040,60040,ZCTA5 60040,5305,574,4731
8600000US60041,60041,ZCTA5 60041,9192,1368,7824
8600000US60042,60042,ZCTA5 60042,8534,706,7828
8600000US60043,60043,ZCTA5 60043,2653,225,2428
8600000US60044,60044,ZCTA5 60044,9582,1246,8336
8600000US60045,60045,ZCTA5 60045,20449,2864,17585
8600000US60046,60046,ZCTA5 60046,34854,3511,31343
8600000US60047,60047,ZCTA5 60047,41702,4181,37521
8600000US60048,60048,ZCTA5 60048,28640,2832,25808
8600000US60050,60050,ZCTA5 60050,31626,2844,28782
8600000US60051,60051,ZCTA5 60051,24764,2331,22433
8600000US60053,60053,ZCTA5 60053,23353,3407,19946
8600000US60056,60056,ZCTA5 60056,55768,6500,49268
8600000US60060,60060,ZCTA5 60060,38037,4301,33736
8600000US60061,60061,ZCTA5 60061,26274,2773,23501
8600000US60062,60062,ZCTA5 60062,39564,5350,34214
8600000US60064,60064,ZCTA5 60064,15728,1586,14142
8600000US60067,60067,ZCTA5 60067,37655,4078,33577
8600000US60068,60068,ZCTA5 60068,37192,3739,33453
8600000US60069,60069,ZCTA5 60069,8406,1049,7357
8600000US60070,60070,ZCTA5 60070,16038,1705,14333
8600000US60071,60071,ZCTA5 60071,3520,332,3188
8600000US60072,60072,ZCTA5 60072,910,97,813
8600000US60073,60073,ZCTA5 60073,60824,5655,55169
8600000US60074,60074,ZCTA5 60074,39721,3573,36148
8600000US60076,60076,ZCTA5 60076,32110,3953,28157
8600000US60077,60077,ZCTA5 60077,27885,3116,24769
8600000US60081,60081,ZCTA5 60081,9874,915,8959
8600000US60083,60083,ZCTA5 60083,10646,981,9665
8600000US60084,60084,ZCTA5 60084,15613,1698,13915
8600000US60085,60085,ZCTA5 60085,69536,5814,63722
8600000US60087,60087,ZCTA5 60087,26309,2919,23390
8600000US60088,60088,ZCTA5 60088,2857,191,2666
8600000US60089,60089,ZCTA5 60089,41477,4991,36486
8600000US60090,60090,ZCTA5 60090,37538,3865,33673
8600000US60091,60091,ZCTA5 60091,27266,2959,24307
8600000US60093,60093,ZCTA5 60093,19447,2495,16952
8600000US60096,60096,ZCTA5 60096,6871,969,5902
8600000US60097,60097,ZCTA5 60097,10623,1201,9422
8600000US60098,60098,ZCTA5 60098,31620,2732,28888
8600000US60099,60099,ZCTA5 60099,30691,3124,27567
8600000US60101,60101,ZCTA5 60101,39865,5669,34196
8600000US60102,60102,ZCTA5 60102,32813,3677,29136
8600000US60103,60103,ZCTA5 60103,42369,3752,38617
8600000US60104,60104,ZCTA5 60104,18931,1749,17182
8600000US60106,60106,ZCTA5 60106,19925,2770,17155
8600000US60107,60107,ZCTA5 60107,41041,6062,34979
8600000US60108,60108,ZCTA5 60108,22607,3148,19459
8600000US60109,60109,ZCTA5 60109,585,27,558
8600000US60110,60110,ZCTA5 60110,39315,3734,35581
8600000US60111,60111,ZCTA5 60111,296,48,248
8600000US60112,60112,ZCTA5 60112,4598,448,4150
8600000US60113,60113,ZCTA5 60113,334,23,311
8600000US60115,60115,ZCTA5 60115,45491,6135,39356
8600000US60118,60118,ZCTA5 60118,15673,1666,14007
8600000US60119,60119,ZCTA5 60119,9790,980,8810
8600000US60120,60120,ZCTA5 60120,50370,4380,45990
8600000US60123,60123,ZCTA5 60123,47942,5526,42416
8600000US60124,60124,ZCTA5 60124,20903,2927,17976
8600000US60126,60126,ZCTA5 60126,47010,5526,41484
8600000US60129,60129,ZCTA5 60129,163,34,129
8600000US60130,60130,ZCTA5 60130,14007,1308,12699
8600000US60131,60131,ZCTA5 60131,18125,1489,16636
8600000US60133,60133,ZCTA5 60133,38436,4333,34103
8600000US60134,60134,ZCTA5 60134,29652,2741,26911
8600000US60135,60135,ZCTA5 60135,6807,864,5943
8600000US60136,60136,ZCTA5 60136,7338,374,6964
8600000US60137,60137,ZCTA5 60137,38070,4986,33084
8600000US60139,60139,ZCTA5 60139,34925,3692,31233
8600000US60140,60140,ZCTA5 60140,15224,1089,14135
8600000US60141,60141,ZCTA5 60141,38,0,38
8600000US60142,60142,ZCTA5 60142,27009,4467,22542
8600000US60143,60143,ZCTA5 60143,10341,1417,8924
8600000US60144,60144,ZCTA5 60144,72,1,71
8600000US60145,60145,ZCTA5 60145,2654,350,2304
8600000US60146,60146,ZCTA5 60146,2587,254,2333
8600000US60148,60148,ZCTA5 60148,52201,6716,45485
8600000US60150,60150,ZCTA5 60150,1557,213,1344
8600000US60151,60151,ZCTA5 60151,4263,416,3847
8600000US60152,60152,ZCTA5 60152,12887,1363,11524
8600000US60153,60153,ZCTA5 60153,24123,2695,21428
8600000US60154,60154,ZCTA5 60154,16715,2416,14299
8600000US60155,60155,ZCTA5 60155,7947,1137,6810
8600000US60156,60156,ZCTA5 60156,28870,2363,26507
8600000US60157,60157,ZCTA5 60157,2097,329,1768
8600000US60160,60160,ZCTA5 60160,25612,1952,23660
8600000US60162,60162,ZCTA5 60162,7877,645,7232
8600000US60163,60163,ZCTA5 60163,5188,402,4786
8600000US60164,60164,ZCTA5 60164,21793,2025,19768
8600000US60165,60165,ZCTA5 60165,4947,179,4768
8600000US60169,60169,ZCTA5 60169,33969,2994,30975
8600000US60171,60171,ZCTA5 60171,10299,1203,9096
8600000US60172,60172,ZCTA5 60172,24721,2009,22712
8600000US60173,60173,ZCTA5 60173,12361,1351,11010
8600000US60174,60174,ZCTA5 60174,31553,3767,27786
8600000US60175,60175,ZCTA5 60175,25510,2935,22575
8600000US60176,60176,ZCTA5 60176,11834,1642,10192
8600000US60177,60177,ZCTA5 60177,22602,1993,20609
8600000US60178,60178,ZCTA5 60178,22051,1979,20072
8600000US60180,60180,ZCTA5 60180,1582,190,1392
8600000US60181,60181,ZCTA5 60181,28756,2881,25875
8600000US60184,60184,ZCTA5 60184,2296,178,2118
8600000US60185,60185,ZCTA5 60185,35667,4020,31647
8600000US60187,60187,ZCTA5 60187,28008,3404,24604
8600000US60188,60188,ZCTA5 60188,43105,4574,38531
8600000US60189,60189,ZCTA5 60189,31439,3457,27982
8600000US60190,60190,ZCTA5 60190,10675,1336,9339
8600000US60191,60191,ZCTA5 60191,14469,1939,12530
8600000US60192,60192,ZCTA5 60192,16695,1630,15065
