GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
8600000US60002,60002,ZCTA5 60002,78250,4191
8600000US60004,60004,ZCTA5 60004,79892,3199
8600000US60005,60005,ZCTA5 60005,69484,4241
8600000US60007,60007,ZCTA5 60007,67473,3390
8600000US60008,60008,ZCTA5 60008,59172,4162
8600000US60010,60010,ZCTA5 60010,120632,4996
8600000US60012,60012,ZCTA5 60012,109962,7172
8600000US60013,60013,ZCTA5 60013,97828,5061
8600000US60014,60014,ZCTA5 60014,81031,2465
8600000US60015,60015,ZCTA5 60015,128676,6492
8600000US60016,60016,ZCTA5 60016,59533,3230
8600000US60018,60018,ZCTA5 60018,54688,3913
8600000US60020,60020,ZCTA5 60020,59175,6676
8600000US60021,60021,ZCTA5 60021,81034,17721
8600000US60022,60022,ZCTA5 60022,162460,30344
8600000US60025,60025,ZCTA5 60025,83914,4447
8600000US60026,60026,ZCTA5 60026,90106,18187
8600000US60029,60029,ZCTA5 60029,165000,25164
8600000US60030,60030,ZCTA5 60030,80909,3005
8600000US60031,60031,ZCTA5 60031,84548,3789
8600000US60033,60033,ZCTA5 60033,51114,6426
8600000US60034,60034,ZCTA5 60034,53942,13775
8600000US60035,60035,ZCTA5 60035,111549,6478
8600000US60040,60040,ZCTA5 60040,54612,8578
8600000US60041,60041,ZCTA5 60041,58816,7838
8600000US60042,60042,ZCTA5 60042,66808,4990
8600000US60043,60043,ZCTA5 60043,227250,58821
8600000US60044,60044,ZCTA5 60044,92861,14461
8600000US60045,60045,ZCTA5 60045,150406,15198
8600000US60046,60046,ZCTA5 60046,87107,4236
8600000US60047,60047,ZCTA5 60047,126999,4243
8600000US60048,60048,ZCTA5 60048,114284,7930
8600000US60050,60050,ZCTA5 60050,66723,4275
8600000US60051,60051,ZCTA5 60051,72693,3141
8600000US60053,60053,ZCTA5 60053,73102,4399
8600000US60056,60056,ZCTA5 60056,68710,4459
8600000US60060,60060,ZCTA5 60060,80069,4215
8600000US60061,60061,ZCTA5 60061,91443,5158
8600000US60062,60062,ZCTA5 60062,100520,5458
8600000US60064,60064,ZCTA5 60064,35293,3522
8600000US60067,60067,ZCTA5 60067,92212,4779
8600000US60068,60068,ZCTA5 60068,87119,4474
8600000US60069,60069,ZCTA5 60069,104196,6950
8600000US60070,60070,ZCTA5 60070,61188,3445
8600000US60071,60071,ZCTA5 60071,56075,6872
8600000US60072,60072,ZCTA5 60072,80625,18279
8600000US60073,60073,ZCTA5 60073,64086,2933
8600000US60074,60074,ZCTA5 60074,62006,2620
8600000US60076,60076,ZCTA5 60076,69067,2998
8600000US60077,60077,ZCTA5 60077,58216,4028
8600000US60081,60081,ZCTA5 60081,83482,9653
8600000US60083,60083,ZCTA5 60083,90093,5267
8600000US60084,60084,ZCTA5 60084,74427,4502
8600000US60085,60085,ZCTA5 60085,41006,2396
8600000US60087,60087,ZCTA5 60087,56122,5168
8600000US60088,60088,ZCTA5 60088,59891,6427
8600000US60089,60089,ZCTA5 60089,94351,3750
8600000US60090,60090,ZCTA5 60090,58466,2985
8600000US60091,60091,ZCTA5 60091,129551,7619
8600000US60093,60093,ZCTA5 60093,163719,18178
8600000US60096,60096,ZCTA5 60096,73304,7127
8600000US60097,60097,ZCTA5 60097,64292,7576
8600000US60098,60098,ZCTA5 60098,60666,5025
8600000US60099,60099,ZCTA5 60099,54152,2172
8600000US60101,60101,ZCTA5 60101,55915,4128
8600000US60102,60102,ZCTA5 60102,99655,7192
8600000US60103,60103,ZCTA5 60103,93352,5175
8600000US60104,60104,ZCTA5 60104,50244,5712
8600000US60106,60106,ZCTA5 60106,57624,6612
8600000US60107,60107,ZCTA5 60107,73587,3586
8600000US60108,60108,ZCTA5 60108,72602,4327
8600000US60109,60109,ZCTA5 60109,61125,11910
8600000US60110,60110,ZCTA5 60110,56654,4272
8600000US60111,60111,ZCTA5 60111,71534,24146
8600000US60112,60112,ZCTA5 60112,70737,10093
8600000US60113,60113,ZCTA5 60113,46250,8907
8600000US60115,60115,ZCTA5 60115,37922,2835
8600000US60118,60118,ZCTA5 60118,78091,5621
8600000US60119,60119,ZCTA5 60119,90833,15688
8600000US60120,60120,ZCTA5 60120,53543,2954
8600000US60123,60123,ZCTA5 60123,55012,2681
8600000US60124,60124,ZCTA5 60124,102059,7387
8600000US60126,60126,ZCTA5 60126,93308,5027
8600000US60129,60129,ZCTA5 60129,73750,41177
8600000US60130,60130,ZCTA5 60130,51055,3863
8600000US60131,60131,ZCTA5 60131,54102,6668
8600000US60133,60133,ZCTA5 60133,68974,3011
8600000US60134,60134,ZCTA5 60134,103401,6504
8600000US60135,60135,ZCTA5 60135,61798,10983
8600000US60136,60136,ZCTA5 60136,105379,13606
8600000US60137,60137,ZCTA5 60137,89386,5246
8600000US60139,60139,ZCTA5 60139,63039,3220
8600000US60140,60140,ZCTA5 60140,78235,6850
8600000US60141,60141,ZCTA5 60141,-,**
8600000US60142,60142,ZCTA5 60142,75572,8897
8600000US60143,60143,ZCTA5 60143,74598,4904
8600000US60144,60144,ZCTA5 60144,103750,64927
8600000US60145,60145,ZCTA5 60145,86932,9423
8600000US60146,60146,ZCTA5 60146,57717,9517
8600000US60148,60148,ZCTA5 60148,70448,2812
8600000US60150,60150,ZCTA5 60150,52109,7226
8600000US60151,60151,ZCTA5 60151,68265,5956
8600000US60152,60152,ZCTA5 60152,63013,10969
8600000US60153,60153,ZCTA5 60153,42295,3169
8600000US60154,60154,ZCTA5 60154,68422,3474
8600000US60155,60155,ZCTA5 60155,51690,5807
8600000US60156,60156,ZCTA5 60156,85570,5760
8600000US60157,60157,ZCTA5 60157,79844,11144
8600000US60160,60160,ZCTA5 60160,45208,3333
8600000US60162,60162,ZCTA5 60162,53868,6177
8600000US60163,60163,ZCTA5 60163,62581,5836
8600000US60164,60164,ZCTA5 60164,56891,5493
8600000US60165,60165,ZCTA5 60165,38214,4554
8600000US60169,60169,ZCTA5 60169,68864,3831
8600000US60171,60171,ZCTA5 60171,46354,4675
8600000US60172,60172,ZCTA5 60172,76512,3703
8600000US60173,60173,ZCTA5 60173,66556,4683
8600000US60174,60174,ZCTA5 60174,76938,3853
8600000US60175,60175,ZCTA5 60175,125219,5781
8600000US60176,60176,ZCTA5 60176,41813,3928
8600000US60177,60177,ZCTA5 60177,85642,7903
8600000US60178,60178,ZCTA5 60178,64274,3591
8600000US60180,60180,ZCTA5 60180,57176,10148
8600000US60181,60181,ZCTA5 60181,69144,2393
8600000US60184,60184,ZCTA5 60184,171667,13420
8600000US60185,60185,ZCTA5 60185,69183,4004
8600000US60187,60187,ZCTA5 60187,84419,3817
8600000US60188,60188,ZCTA5 60188,76033,3104
8600000US60189,60189,ZCTA5 60189,93179,3403
8600000US60190,60190,ZCTA5 60190,95025,5445
8600000US60191,60191,ZCTA5 60191,61439,2703
8600000US60192,60192,ZCTA5 60192,115285,7252
8600000US60193,60193,ZCTA5 60193,72939,3192
8600000US60194,60194,ZCTA5 60194,73261,5479
8600000US60195,60195,ZCTA5 60195,62877,5848
8600000US60201,60201,ZCTA5 60201,65589,5283
8600000US60202,60202,ZCTA5 60202,68321,4974
8600000US60203,60203,ZCTA5 60203,113947,16447
8600000US60301,60301,ZCTA5 60301,61367,16962
8600000US60302,60302,ZCTA5 60302,77385,4550
8600000US60304,60304,ZCTA5 60304,85607,6480
8600000US60305,60305,ZCTA5 60305,113317,17422
8600000US60401,60401,ZCTA5 60401,64063,7493
8600000US60402,60402,ZCTA5 60402,53402,2292
8600000US60403,60403,ZCTA5 60403,46716,3228
8600000US60404,60404,ZCTA5 60404,86706,3845
8600000US60406,60406,ZCTA5 60406,40875,2853
8600000US60407,60407,ZCTA5 60407,56563,9352
8600000US60408,60408,ZCTA5 60408,64292,13086
8600000US60409,60409,ZCTA5 60409,40359,3555
8600000US60410,60410,ZCTA5 60410,86325,4150
8600000US60411,60411,ZCTA5 60411,41537,2017
8600000US60415,60415,ZCTA5 60415,50336,3995
8600000US60416,60416,ZCTA5 60416,60103,5620
8600000US60417,60417,ZCTA5 60417,70383,4861
8600000US60419,60419,ZCTA5 60419,48012,3018
8600000US60420,60420,ZCTA5 60420,60658,6507
8600000US60421,60421,ZCTA5 60421,70485,6395
8600000US60422,60422,ZCTA5 60422,98140,12498
8600000US60423,60423,ZCTA5 60423,95667,7022
