GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US60002,60002,ZCTA5 60002,24305,481
8600000US60004,60004,ZCTA5 60004,50222,847
8600000US60005,60005,ZCTA5 60005,30462,809
8600000US60007,60007,ZCTA5 60007,33830,242
8600000US60008,60008,ZCTA5 60008,22402,554
8600000US60010,60010,ZCTA5 60010,44416,1039
8600000US60012,60012,ZCTA5 60012,11313,700
8600000US60013,60013,ZCTA5 60013,26241,731
8600000US60014,60014,ZCTA5 60014,48379,792
8600000US60015,60015,ZCTA5 60015,27373,398
8600000US60016,60016,ZCTA5 60016,61369,743
8600000US60018,60018,ZCTA5 60018,29027,827
8600000US60020,60020,ZCTA5 60020,10246,605
8600000US60021,60021,ZCTA5 60021,5724,354
8600000US60022,60022,ZCTA5 60022,8383,113
8600000US60025,60025,ZCTA5 60025,39263,911
8600000US60026,60026,ZCTA5 60026,13775,771
8600000US60029,60029,ZCTA5 60029,478,94
8600000US60030,60030,ZCTA5 60030,36563,754
8600000US60031,60031,ZCTA5 60031,37920,684
8600000US60033,60033,ZCTA5 60033,13686,383
8600000US60034,60034,ZCTA5 60034,1795,272
8600000US60035,60035,ZCTA5 60035,29837,39
8600000US60040,60040,ZCTA5 60040,5400,19
8600000US60041,60041,ZCTA5 60041,8655,581
8600000US60042,60042,ZCTA5 60042,8556,280
8600000US60043,60043,ZCTA5 60043,2648,187
8600000US60044,60044,ZCTA5 60044,9683,303
8600000US60045,60045,ZCTA5 60045,20516,361
8600000US60046,60046,ZCTA5 60046,34859,552
8600000US60047,60047,ZCTA5 60047,42221,508
8600000US60048,60048,ZCTA5 60048,29284,554
8600000US60050,60050,ZCTA5 60050,32253,729
8600000US60051,60051,ZCTA5 60051,24787,724
8600000US60053,60053,ZCTA5 60053,23424,53
8600000US60056,60056,ZCTA5 60056,55617,399
8600000US60060,60060,ZCTA5 60060,37947,865
8600000US60061,60061,ZCTA5 60061,26144,241
8600000US60062,60062,ZCTA5 60062,40211,653
8600000US60064,60064,ZCTA5 60064,15898,469
8600000US60067,60067,ZCTA5 60067,38303,1034
8600000US60068,60068,ZCTA5 60068,37511,299
8600000US60069,60069,ZCTA5 60069,8301,390
