GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Below 100 percent of the poverty level,Margin of Error; Total: - Below 100 percent of the poverty level,Estimate; Total: - 100 to 149 percent of the poverty level,Margin of Error; Total: - 100 to 149 percent of the poverty level,Estimate; Total: - At or above 150 percent of the poverty level,Margin of Error; Total: - At or above 150 percent of the poverty level,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Below 100 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - Below 100 percent of the poverty level,Estimate; Total: - Same house 1 year ago: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - 100 to 149 percent of the poverty level,Estimate; Total: - Same house 1 year ago: - At or above 150 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - At or above 150 percent of the poverty level,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved within same county: - Below 100 percent of the poverty level,Estimate; Total: - Moved within same county: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved within same county: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved within same county: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved within same county: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - Below 100 percent of the poverty level,Estimate; Total: - Moved from different county within same state: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from different county within same state: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from different state: - Below 100 percent of the poverty level,Estimate; Total: - Moved from different state: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from different state: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from different state: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from different state: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - Below 100 percent of the poverty level,Estimate; Total: - Moved from abroad: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from abroad: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - At or above 150 percent of the poverty level
8600000US60002,60002,ZCTA5 60002,23994,428,2242,549,1453,455,20299,812,21964,541,1830,525,1265,435,18869,855,1350,339,364,148,58,51,928,286,496,247,12,18,75,69,409,230,151,91,17,20,41,65,93,65,33,31,19,22,14,20,0,20
8600000US60004,60004,ZCTA5 60004,49497,871,2934,648,1683,476,44880,972,44590,999,2401,563,1513,415,40676,1082,3187,736,487,308,159,185,2541,547,725,267,3,7,7,12,715,267,726,213,24,26,0,26,702,210,269,141,19,24,4,7,246,135
8600000US60005,60005,ZCTA5 60005,29203,764,1943,452,1708,430,25552,792,25191,904,1570,394,1423,398,22198,864,3107,508,337,197,199,130,2571,478,191,77,0,20,13,20,178,74,449,172,36,41,38,61,375,162,265,138,0,20,35,56,230,157
8600000US60007,60007,ZCTA5 60007,33563,339,1574,446,1367,337,30622,691,30082,762,1286,419,1061,288,27735,911,2424,575,60,40,155,113,2209,577,547,307,15,23,93,118,439,263,263,180,164,149,0,23,99,108,247,162,49,75,58,93,140,111
8600000US60008,60008,ZCTA5 60008,21621,584,2107,573,1762,579,17752,938,19621,764,1863,564,1494,556,16264,908,1213,455,177,129,214,288,822,253,447,211,47,54,54,72,346,197,259,181,20,23,0,20,239,179,81,35,0,20,0,20,81,35
8600000US60010,60010,ZCTA5 60010,43814,835,2020,493,1161,329,40633,1031,39896,887,1444,359,1062,327,37390,1046,2021,534,375,351,47,42,1599,385,1222,369,125,118,50,49,1047,333,533,217,76,80,0,23,457,211,142,97,0,23,2,4,140,97
8600000US60012,60012,ZCTA5 60012,10914,535,256,135,203,138,10455,541,10206,554,229,134,157,116,9820,587,329,180,27,43,46,72,256,148,90,64,0,17,0,17,90,64,289,166,0,17,0,17,289,166,0,17,0,17,0,17,0,17
8600000US60013,60013,ZCTA5 60013,25868,591,1998,560,1178,398,22692,783,24099,702,1644,485,1143,396,21312,769,936,316,211,204,4,5,721,261,530,230,96,130,15,23,419,187,261,113,46,52,16,28,199,96,42,52,1,3,0,20,41,51
8600000US60014,60014,ZCTA5 60014,48207,754,3083,747,2276,485,42848,1128,43014,1167,2812,738,2032,478,38170,1220,3327,771,184,107,221,139,2922,742,1035,350,42,45,10,17,983,350,767,241,30,28,13,23,724,237,64,58,15,26,0,23,49,50
