,block,case_number,date,longitude,primary_type,year,zip
783,036XX W WOLFRAM ST,HW102263,2013-01-02 18:15:00,-87.717950737,BATTERY,2013,60618
784,021XX W 53RD PL,HW102954,2013-01-03 11:15:00,-87.677711947,BATTERY,2013,60609
785,003XX N LA SALLE DR,HW104733,2013-01-04 17:14:00,-87.632505286,BATTERY,2013,60654
786,011XX N NORTH BRANCH ST,HW105331,2013-01-05 03:50:00,-87.654339768,BATTERY,2013,60642
787,001XX N PARKSIDE AVE,HW105392,2013-01-05 07:20:00,-87.76660788,THEFT,2013,60644
788,008XX W 59TH ST,HW105401,2013-01-05 06:51:00,-87.645505595,BATTERY,2013,60621
789,002XX N LAFLIN ST,HW106824,2013-01-06 00:00:00,-87.66429652,THEFT,2013,60607
791,043XX W 76TH ST,HW107125,2013-01-06 17:30:00,-87.731101768,ASSAULT,2013,60652
792,0000X S HALSTED ST,HW107274,2013-01-06 19:28:00,-87.647342333,THEFT,2013,60607
793,049XX W DAKIN ST,HW107653,2013-01-06 16:00:00,-87.750815271,THEFT,2013,60641
794,023XX W CERMAK RD,HW108054,2013-01-07 11:30:00,-87.68397705,THEFT,2013,60608
795,038XX N WILTON AVE,HW108968,2013-01-08 01:00:00,-87.653246002,THEFT,2013,60613
796,0000X S WABASH AVE,HW109127,2013-01-07 16:40:00,-87.626203285,ASSAULT,2013,60603
797,088XX S DANTE AVE,HW109769,2013-01-07 20:13:00,-87.589293223,ASSAULT,2013,60619
798,008XX W NELSON ST,HW110110,2013-01-09 06:15:00,-87.650961455,BATTERY,2013,60657
799,077XX S BISHOP ST,HW111613,2013-01-10 08:50:00,-87.660277146,THEFT,2013,60620
800,011XX N LARAMIE AVE,HW112231,2013-01-10 15:45:00,-87.755751439,THEFT,2013,60651
801,013XX E 69TH ST,HW112240,2013-01-10 16:00:00,-87.593670899,ASSAULT,2013,60637
802,069XX S PAXTON AVE,HW114030,2013-01-11 21:35:00,-87.57148207,THEFT,2013,60649
803,057XX W 64TH ST,HW116300,2013-01-13 21:20:00,-87.765130893,ASSAULT,2013,60638
805,056XX W MADISON ST,HW113496,2013-01-11 15:20:00,-87.765917529,ROBBERY,2013,60644
806,079XX S ASHLAND AVE,HW117160,2013-01-14 16:10:00,-87.66342156,THEFT,2013,60620
807,063XX N OAKLEY AVE,HW117613,2013-01-14 23:30:00,-87.687417479,ASSAULT,2013,60659
808,021XX W DEVON AVE,HW118437,2013-01-15 13:39:00,-87.684266677,ROBBERY,2013,60645
810,093XX S STEWART AVE,HW119503,2013-01-16 12:13:00,-87.63250432,THEFT,2013,60620
811,068XX N ASHLAND BLVD,HW122427,2013-01-18 16:30:00,-87.669961712,BATTERY,2013,60626
812,016XX N HARLEM AVE,HW122527,2013-01-18 17:23:00,-87.80576669,THEFT,2013,
813,008XX W BELMONT AVE,HW123107,2013-01-19 02:30:00,-87.650917732,ASSAULT,2013,60657
814,070XX S TALMAN AVE,HW123624,2013-01-19 13:30:00,-87.689387013,BATTERY,2013,60629
815,097XX S HALSTED ST,HW124404,2013-01-20 02:00:00,-87.6430967,BATTERY,2013,60643
816,009XX N LEAVITT ST,HW126822,2013-01-22 10:50:00,-87.682029799,THEFT,2013,60622
817,062XX S MOZART ST,HW126648,2013-01-21 22:30:00,-87.694636659,THEFT,2013,60629
818,052XX S WOOD ST,HW127302,2013-01-22 06:30:00,-87.669572591,THEFT,2013,60609
819,0000X W 124TH ST,HW127260,2013-01-22 15:45:00,-87.62265903,BATTERY,2013,60628
820,032XX S STATE ST,HW127607,2013-01-22 18:30:00,-87.626739832,THEFT,2013,60616
821,103XX S PEORIA ST,HW130439,2013-01-25 04:35:00,-87.645243421,THEFT,2013,60643
822,011XX S CLARK ST,HW130769,2013-01-25 10:20:00,-87.6304532,THEFT,2013,60605
824,021XX E 71ST ST,HW132577,2013-01-24 15:00:00,-87.572252427,THEFT,2013,60649
825,004XX N CLARK ST,HW133100,2013-01-27 00:30:00,-87.631089546,BATTERY,2013,60654
826,079XX S ADA ST,HW133573,2013-01-26 14:30:00,-87.657371388,THEFT,2013,60620
827,010XX W CORNELIA AVE,HW133589,2013-01-27 02:00:00,-87.655884983,THEFT,2013,60657
828,045XX S HALSTED ST,HW135427,2013-01-28 19:00:00,-87.645606798,THEFT,2013,60609
829,013XX N PULASKI RD,HW136276,2013-01-29 14:15:00,-87.726387108,THEFT,2013,60651
830,040XX W MADISON ST,HW138925,2013-01-31 11:55:00,-87.72628358,THEFT,2013,60624
831,066XX S BELL AVE,HW140033,2013-02-01 10:50:00,-87.679699703,THEFT,2013,60636
832,032XX N HALSTED ST,HW140880,2013-02-01 22:00:00,-87.649275328,THEFT,2013,60657
833,011XX N NORTH BRANCH ST,HW141248,2013-02-02 02:00:00,-87.654339768,THEFT,2013,60642
835,035XX N HALSTED ST,HW144178,2013-02-04 07:30:00,-87.64944108,THEFT,2013,60657
836,022XX S WABASH AVE,HW144184,2013-02-02 23:00:00,-87.625491255,THEFT,2013,60616
837,010XX N ORLEANS ST,HW141893,2013-02-01 03:30:00,-87.63733304,THEFT,2013,60610
838,0000X N AUSTIN BLVD,HW146044,2013-02-06 10:04:00,-87.774672379,BATTERY,2013,
839,029XX N LAKE SHORE DR,HW146982,2013-02-06 16:30:00,-87.636780157,THEFT,2013,60657
840,029XX N HARLEM AVE,HW147376,2013-02-07 09:30:00,-87.806580645,ASSAULT,2013,
842,008XX W 111TH ST,HW147903,2013-02-07 16:00:00,-87.642681558,BATTERY,2013,60643
